	0-RawData	1-ITSxpress	2-NandSmallSeqsFiltering	3-QualityFiltering	4-Dereplication	5-ChimeraRemoval	6-Denoising	7-Clustering_100	8-LULU_correction_100
ctl-leaves	/	/	/	/	/	/	/	9437 (14 uniques)	9437 (13 uniques)
ctl-leaves_S158_L001_R1.fastq.gz	24497	12633	12631	9448	/	/	/	/	/
ctl-roots	/	/	/	/	/	/	/	22265 (22 uniques)	22265 (17 uniques)
ctl-roots_S159_L001_R1.fastq.gz	59715	31335	31321	22299	/	/	/	/	/
ext-negative	/	/	/	/	/	/	/	8684 (17 uniques)	8684 (13 uniques)
ext-negative_S160_L001_R1.fastq.gz	12449	12375	12371	8688	/	/	/	/	/
inoc-leaves	/	/	/	/	/	/	/	130407 (60 uniques)	130407 (54 uniques)
inoc-leaves_S156_L001_R1.fastq.gz	196392	195024	194939	133220	/	/	/	/	/
inoc-roots	/	/	/	/	/	/	/	94773 (94 uniques)	94773 (84 uniques)
inoc-roots_S157_L001_R1.fastq.gz	144598	142117	142045	97422	/	/	/	/	/
inoc-source	/	/	/	/	/	/	/	61191 (382 uniques)	61191 (364 uniques)
inoc-source_S161_L001_R1.fastq.gz	90350	85632	85579	61927	/	/	/	/	/
pcr-neg	/	/	/	/	/	/	/	642 (1 uniques)	642 (1 uniques)
pcr-neg_S163_L001_R1.fastq.gz	1094	1085	1085	646	/	/	/	/	/
pcr-pos	/	/	/	/	/	/	/	117582 (11 uniques)	117582 (10 uniques)
pcr-pos_S162_L001_R1.fastq.gz	176624	175910	175843	120434	/	/	/	/	/
