"","SampleID","TimePoint","Type","PlantID","WeightGrams","SampleNotes","Water","Inoculation","Replicate","PlantNotes","SampleType","Sample_or_Control","is.neg","SpeciesRichness"
"KSTRAW0815","KSTRAW0815","T1","Root","R01I01W01","0.26750","","1","1"," 1","","post_inoc_post_stress","True Sample","FALSE",41655
"KSTRAW0816","KSTRAW0816","T1","Root","R02I01W01","0.18800","","1","1"," 2","","post_inoc_post_stress","True Sample","FALSE",5790
"KSTRAW0817","KSTRAW0817","T1","Root","R03I01W01","0.25810","","1","1"," 3","P11","post_inoc_post_stress","True Sample","FALSE",4193
"KSTRAW0818","KSTRAW0818","T1","Root","R04I01W01","0.06700","","1","1"," 4","","post_inoc_post_stress","True Sample","FALSE",6874
"KSTRAW0819","KSTRAW0819","T1","Root","R05I01W01","0.17290","","1","1"," 5","","post_inoc_post_stress","True Sample","FALSE",9630
"KSTRAW0820","KSTRAW0820","T1","Root","R06I01W01","0.13210","","1","1"," 6","","post_inoc_post_stress","True Sample","FALSE",6594
"KSTRAW0821","KSTRAW0821","T1","Root","R07I01W01","0.03340","","1","1"," 7","","post_inoc_post_stress","True Sample","FALSE",13474
"KSTRAW0822","KSTRAW0822","T1","Root","R08I01W01","0.13490","","1","1"," 8","","post_inoc_post_stress","True Sample","FALSE",19329
"KSTRAW0823","KSTRAW0823","T1","Root","R09I01W01","0.11690","","1","1"," 9","","post_inoc_post_stress","True Sample","FALSE",1351
"KSTRAW0824","KSTRAW0824","T1","Root","R10I01W01","0.06960","","1","1","10","","post_inoc_post_stress","True Sample","FALSE",2897
"KSTRAW0825","KSTRAW0825","T1","Root","R11I01W01","0.13030","","1","1","11","","post_inoc_post_stress","True Sample","FALSE",1893
"KSTRAW0826","KSTRAW0826","T1","Root","R12I01W01","0.18950","","1","1","12","","post_inoc_post_stress","True Sample","FALSE",3267
"KSTRAW0827","KSTRAW0827","T1","Root","R13I01W01","0.24640","","1","1","13","P19","post_inoc_post_stress","True Sample","FALSE",1611
"KSTRAW0828","KSTRAW0828","T1","Root","R14I01W01","0.22340","","1","1","14","","post_inoc_post_stress","True Sample","FALSE",1618
"KSTRAW0829","KSTRAW0829","T1","Root","R01I02W01","0.06770","","1","2"," 1","","post_inoc_post_stress","True Sample","FALSE",1139
"KSTRAW0830","KSTRAW0830","T1","Root","R02I02W01","0.25500","","1","2"," 2","","post_inoc_post_stress","True Sample","FALSE",4291
"KSTRAW0831","KSTRAW0831","T1","Root","R03I02W01","0.11710","","1","2"," 3","","post_inoc_post_stress","True Sample","FALSE",6324
"KSTRAW0832","KSTRAW0832","T1","Root","R04I02W01","0.18040","","1","2"," 4","","post_inoc_post_stress","True Sample","FALSE",12577
"KSTRAW0833","KSTRAW0833","T1","Shoot","R01I02W01","0.02123","","1","2"," 1","","post_inoc_post_stress","True Sample","FALSE",10394
"KSTRAW0834","KSTRAW0834","T1","Root","R05I02W01","0.06170","","1","2"," 5","","post_inoc_post_stress","True Sample","FALSE",1398
"KSTRAW0835","KSTRAW0835","T1","Shoot","R05I02W01","0.01988","","1","2"," 5","","post_inoc_post_stress","True Sample","FALSE",8088
"KSTRAW0836","KSTRAW0836","T1","Root","R06I02W01","0.24930","","1","2"," 6","","post_inoc_post_stress","True Sample","FALSE",3600
"KSTRAW0837","KSTRAW0837","T1","Shoot","R06I02W01","0.04132","","1","2"," 6","","post_inoc_post_stress","True Sample","FALSE",22839
"KSTRAW0838","KSTRAW0838","T1","Root","R07I02W01","0.08840","","1","2"," 7","","post_inoc_post_stress","True Sample","FALSE",10254
"KSTRAW0839","KSTRAW0839","T1","Shoot","R07I02W01","0.04715","","1","2"," 7","","post_inoc_post_stress","True Sample","FALSE",11557
"KSTRAW0840","KSTRAW0840","T1","Root","R08I02W01","0.15090","","1","2"," 8","","post_inoc_post_stress","True Sample","FALSE",7793
"KSTRAW0841","KSTRAW0841","T1","Shoot","R08I02W01","0.07335","","1","2"," 8","","post_inoc_post_stress","True Sample","FALSE",11448
"KSTRAW0842","KSTRAW0842","T1","Root","R09I02W01","0.25460","","1","2"," 9","P25","post_inoc_post_stress","True Sample","FALSE",18643
"KSTRAW0843","KSTRAW0843","T1","Root","R01I03W01","0.05110","","1","3"," 1","","post_inoc_post_stress","True Sample","FALSE",10768
"KSTRAW0844","KSTRAW0844","T1","Root","R02I03W01","0.10380","","1","3"," 2","","post_inoc_post_stress","True Sample","FALSE",11888
"KSTRAW0845","KSTRAW0845","T1","Root","R03I03W01","0.20430","","1","3"," 3","","post_inoc_post_stress","True Sample","FALSE",12501
"KSTRAW0846","KSTRAW0846","T1","Root","R04I03W01","0.26210","4 was duplicated, either rep 5 or 7","1","3"," 4","","post_inoc_post_stress","True Sample","FALSE",6608
"KSTRAW0847","KSTRAW0847","T1","Root","R05I03W01","0.03040","labeled as number 4","1","3"," 5","P10","post_inoc_post_stress","True Sample","FALSE",3832
"KSTRAW0848","KSTRAW0848","T1","Root","R06I03W01","0.20320","","1","3"," 6","P16","post_inoc_post_stress","True Sample","FALSE",7
