trt,E,A,Ca,Ci,gsw,Ci/Ca
dry,0.000437148,1.325268805,409.4894138,307.6929266,0.029242134,0.751406303
dry,-0.000238737,0.987386382,409.6965259,521.1577749,-0.015464323,1.272058077
interm,0.000549954,3.56813689,408.7121379,210.6430108,0.036472713,0.515382322
interm,0.000179531,1.262110642,409.5397845,162.2897782,0.011757141,0.396273535
interm,0.001045667,2.182713721,409.1213448,341.5276197,0.071197408,0.834783186
interm,-0.000211993,1.424882243,409.5406897,586.1097402,-0.013721158,1.431139213
interm,-0.000375897,2.327302917,409.2516121,571.4472708,-0.02419222,1.39632259
wet,0.00041089,2.784466271,408.9671897,233.9729603,0.027096334,0.572106923
wet,0.000479105,2.259649631,409.1707414,285.5601941,0.031839428,0.697899838
wet,0.001588482,2.280091569,409.0213879,364.4799416,0.1086006,0.891102403
wet,0.000225972,2.88769061,408.9949052,-679.976004,0.014850396,-1.662553727
wet,0.000149579,1.869424679,409.3474741,22.27958395,0.009805751,0.054427071
