"","KSTRAW0815","KSTRAW0816","KSTRAW0817","KSTRAW0818","KSTRAW0819","KSTRAW0820","KSTRAW0821","KSTRAW0822","KSTRAW0823","KSTRAW0824","KSTRAW0825","KSTRAW0826","KSTRAW0827","KSTRAW0828","KSTRAW0860","KSTRAW0861","KSTRAW0863","KSTRAW0864","KSTRAW0865","KSTRAW0866","KSTRAW0868","KSTRAW0869","KSTRAW0870","KSTRAW0871","KSTRAW0872","KSTRAW0873","KSTRAW0874","KSTRAW0875","KSTRAW0876","KSTRAW0877","KSTRAW0879","KSTRAW0880","KSTRAW0881","KSTRAW0885","KSTRAW0888","KSTRAW0890","KSTRAW0891","KSTRAW0892","KSTRAW0893","KSTRAW0894","KSTRAW0896","KSTRAW0897","KSTRAW0898","KSTRAW0899","KSTRAW0900","KSTRAW0901","KSTRAW0902","KSTRAW0903","KSTRAW0904","KSTRAW0905","KSTRAW0906","KSTRAW0907","KSTRAW0908","KSTRAW0909","KSTRAW0911","KSTRAW0912","KSTRAW0941","KSTRAW0942","KSTRAW0943","KSTRAW0944","KSTRAW0945","KSTRAW0946","KSTRAW0947","KSTRAW0949","KSTRAW0950","KSTRAW0952","KSTRAW0953","KSTRAW0954","KSTRAW0956","KSTRAW0957","KSTRAW0958","KSTRAW0960","KSTRAW0961","KSTRAW0962","KSTRAW0963","KSTRAW0964","KSTRAW0965","KSTRAW0966","KSTRAW0967","KSTRAW0968","KSTRAW0969","KSTRAW0972","KSTRAW0973","KSTRAW0974","KSTRAW0975","KSTRAW0976","KSTRAW0977","KSTRAW0978","KSTRAW0979","KSTRAW0980","KSTRAW0982","KSTRAW0983","KSTRAW0984","KSTRAW0985","KSTRAW0986","KSTRAW0987","KSTRAW0988","KSTRAW0989","KSTRAW0990","KSTRAW0992","KSTRAW0993","KSTRAW0994","KSTRAW0995","KSTRAW0996","KSTRAW1025","KSTRAW1026","KSTRAW1027","KSTRAW1028","KSTRAW1029","KSTRAW1030","KSTRAW1031","KSTRAW1032","KSTRAW1033","KSTRAW1034","KSTRAW1035","KSTRAW1036","KSTRAW1037","KSTRAW1038","KSTRAW1039","KSTRAW1040","KSTRAW1041","KSTRAW1042","KSTRAW1044","KSTRAW1046","KSTRAW1047","KSTRAW1048","KSTRAW1050","KSTRAW1051","KSTRAW1052","KSTRAW1053","KSTRAW1054","KSTRAW1055","KSTRAW1056","KSTRAW1057","KSTRAW1058","KSTRAW1059","KSTRAW1060","KSTRAW1061","KSTRAW1062","KSTRAW1063","KSTRAW1064","KSTRAW1065","KSTRAW1066","KSTRAW1067","KSTRAW1068","KSTRAW1069","KSTRAW1070","KSTRAW1071","KSTRAW1073","KSTRAW1074","KSTRAW1075","KSTRAW1076","KSTRAW1077","KSTRAW1078","KSTRAW1079","KSTRAW1080","KSTRAW1111","KSTRAW1113","KSTRAW1114","KSTRAW1115","KSTRAW1117","KSTRAW1118","KSTRAW1119","KSTRAW1120","KSTRAW1122","KSTRAW1124","KSTRAW1125","KSTRAW1126","KSTRAW1128","KSTRAW1129","KSTRAW1130","KSTRAW1131","KSTRAW1132","KSTRAW1133","KSTRAW1135","KSTRAW1136","KSTRAW1137","KSTRAW1140","KSTRAW1142","KSTRAW1143","KSTRAW1144","KSTRAW1145","KSTRAW1146","KSTRAW1148","KSTRAW1149","KSTRAW1150","KSTRAW1151","KSTRAW1152","KSTRAW1153","KSTRAW1154","KSTRAW1155","KSTRAW1157","KSTRAW1158","KSTRAW1159","KSTRAW1160","KSTRAW1161","KSTRAW1162","KSTRAW1163","KSTRAW1164","KSTRAW1193","KSTRAW1194","KSTRAW1195","KSTRAW1196","KSTRAW1197","KSTRAW1199","KSTRAW1200","KSTRAW1201","KSTRAW1202","KSTRAW1203","KSTRAW1204","KSTRAW1205","KSTRAW1206","KSTRAW1207","KSTRAW1208","KSTRAW1209","KSTRAW1210","KSTRAW1211","KSTRAW1212","KSTRAW1213","KSTRAW1214","KSTRAW1215","KSTRAW1216","KSTRAW1217","KSTRAW1218","KSTRAW1219","KSTRAW1220","KSTRAW1221","KSTRAW1224","KSTRAW1225","KSTRAW1226","KSTRAW1227","KSTRAW1228","KSTRAW1229","KSTRAW1230","KSTRAW1231","KSTRAW1232","KSTRAW1234","KSTRAW1235","KSTRAW1236","KSTRAW1237","KSTRAW1238","KSTRAW1239","KSTRAW1240","KSTRAW1241","KSTRAW1242","KSTRAW1244","KSTRAW1245","KSTRAW1247","KSTRAW1248","KSTRAW1277","KSTRAW1279","KSTRAW1280","KSTRAW1281","KSTRAW1282","KSTRAW1283","KSTRAW1284","KSTRAW1285","KSTRAW1286","KSTRAW1287","KSTRAW1288","KSTRAW1289","KSTRAW1290","KSTRAW1291","KSTRAW1292","KSTRAW1293","KSTRAW1294","KSTRAW1296","KSTRAW1298","KSTRAW1299","KSTRAW1300","KSTRAW1302","KSTRAW1304","KSTRAW1305","KSTRAW1306","KSTRAW1307","KSTRAW1308","KSTRAW1309","KSTRAW1311","KSTRAW1312","KSTRAW1314","KSTRAW1315","KSTRAW1316","KSTRAW1317","KSTRAW1318","KSTRAW1331","KSTRAW1332","KSTRAW1333","KSTRAW1334","KSTRAW1335","KSTRAW1352","KSTRAW1353","KSTRAW1354","KSTRAW1355","KSTRAW1356","KSTRAW1357","KSTRAW1358","KSTRAW1360","KSTRAW1361","KSTRAW1363","KSTRAW1364","KSTRAW1366","KSTRAW1367","KSTRAW1368","KSTRAW1369","KSTRAW1370","KSTRAW1371","KSTRAW1372","KSTRAW1375","KSTRAW1377","KSTRAW1394","KSTRAW1395","KSTRAW1396","KSTRAW1397","KSTRAW1399","KSTRAW1400","KSTRAW1402","KSTRAW1406","KSTRAW1408","KSTRAW1411","KSTRAW1412","KSTRAW1414","KSTRAW1415","KSTRAW1416","KSTRAW1417","KSTRAW1418","KSTRAW1419","KSTRAW1420","KSTRAW1421","KSTRAW1436","KSTRAW1437","KSTRAW1438","KSTRAW1439","KSTRAW1440","KSTRAW1442","KSTRAW1443","KSTRAW1444","KSTRAW1446","KSTRAW1447","KSTRAW1449","KSTRAW1450","KSTRAW1451","KSTRAW1452","KSTRAW1453","KSTRAW1454","KSTRAW1455","KSTRAW1456"
"ASV0001",61,3,0,3,0,9,84,2,10,19,0,24,0,12,5,0,38,9,0,17,10,48,7,5,57,12,22,3,65,3628,352,145,198,37,362,1912,103,445,109,82,348,24,283,5,3,0,2,1,7,8,0,15,2,6,0,5,0,1,1,0,0,0,12,4,3,10,5,0,38,49,3,12,0,13,8,9,39,50,16,29,32,0,65,40,47,54,2,183,183,0,117,5,6,0,0,1,552,2,13,4,4,2,1,13,17,31,5,3,4,10,38,35,0,3,0,0,0,8,12,20,169,4,231,13,21,21,10,18,102,346,48,7,236,48,21,125,16,159,57,1582,161,7,737,1077,300,32,65,75,514,3824,121,4,102,881,76,25,62,255,36,345,137,163,949,42,262,75,399,58,1717,482,925,260,122,3364,878,44,501,2108,127,7294,4422,1363,753,7341,371,4101,17,20,202,109,24,16,3,2832,4,61,4,124,118,0,110,4,14,11,30,42,0,230,21,118,70,10,265,403,37,2,319,150,25,12,201,90,386,51,1947,142,484,501,638,256,4301,49,131,30169,820,1532,864,28,10,8,1,3,1822,18,85,59,25,30,10,15,329,20,54,20,27,142,88,35,35,3,110,3,83,177,22,119,264,14,116,330,75,529,1181,842,125,12,6501,8095,503,1433,140,103,145,102,36552,3553,9423,2845,5059,3483,3627,11121,5572,10816,2917,1002,546,3200,12325,1271,1299,22312,10038,7119,8297,2434,828,1014,333,3047,6138,3466,1405,2971,1713,1254,363,180,1664,1850,1847,988,733,2012,1903,2324,4065,1888,14967,3572,13106,12149,2032,1778,2584,1800,5561,2039,1406,3075,1166,255,1877,16480,1126,4563
"ASV0002",7907,2231,2833,2585,4517,1638,2996,11147,551,1414,481,958,607,219,0,1,0,1,1,3,6,347,2,0,0,0,0,1,3,2,0,0,115,2,0,6,0,1,1,5,1,16,0,5994,4414,2349,15765,10552,5649,8896,374,3578,4655,10348,1222,3494,1,0,4,316,2,0,0,5,940,0,1,2135,1,8,0,1,2,0,5,2,8,0,0,3,0,0,4,0,0,5,2,1,0,2,2,7046,7306,626,1484,1012,5139,4668,7585,127,5008,293,10433,1497,1,4,22,4,5,67,7,0,3,194,0,2,0,0,0,10,4,0,7,0,7,0,0,0,3,2,0,1,0,3,4,4,1,6,5,0,3,2,4,2728,15805,2942,2710,15101,3687,1197,1660,47045,7088,2094,4934,1,2,4,2,3,0,1,0,1,3,0,4,5,94,5,1,3,0,2,0,2,0,2,0,0,1,0,3,0,3,8,3650,0,6998,10300,247,2,0,2,3716,14309,5360,13,927,0,1,0,1,1,1,5,205,1203,5,3,0,7891,0,2,1,1,2,0,1,1,2,2,7,2,5,0,0,0,1,5,6,6,0,1,0,3,0,9365,1046,971,1000,7723,390,5,2976,8,1096,10180,7063,1,4,0,3,0,5,3,0,4,1,4,3,0,1,0,5,2,3,4,0,0,1,5,1,15,5,0,0,19,0,2,0,2,3,2,4,0,8,4,1,0,1,0,1,2,0,3,0,0,2,0,0,5,1,53,0,0,0,0,2,0,2,0,4,2,0,0,0,1,4,0,0,4,0,2,2,1,1,8,2,1,7,0,3,2,4,237,4,1,4,4,0,0,0,4,3,5
"ASV0003",464,147,0,0,6,0,0,3,0,0,0,0,14,0,25,102,1207,696,143,416,64,0,81,587,603,0,845,850,1218,0,1486,188,508,2629,19378,7525,6931,4646,1113,5672,2012,10202,3731,0,13,0,0,17,0,0,7,0,11,3,4,0,10,52,4,0,0,0,0,2,7,0,0,0,0,0,1521,50,2,112,0,129,1096,408,992,74,3794,1937,0,2213,226,3326,575,11700,6520,2197,11822,0,0,0,6,3,0,0,0,0,2,0,2,1,2,0,0,0,4,0,0,31,0,0,0,4,0,2,166,1462,0,0,141,5,81,1437,14,0,0,2194,307,1423,1329,302,6765,1323,156,1480,1067,1046,1800,5202,7521,3,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1356,189,3063,26,0,0,27,49,11,0,0,5932,0,17988,3847,569,8757,6695,22300,7889,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,22,0,1901,0,99,0,9,0,0,1029,0,1378,0,4732,2980,267,1337,133,2850,49,42367,812,10134,2666,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,21,0,0,0,0,791,0,0,1,30,567,1864,0,551,0,4116,1244,0,640,285,3472,2567,0,0,0,0,0,140,0,114,0,0,0,0,0,8,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1296,0,1,30
"ASV0004",2,0,0,1,0,1,0,3,0,0,1,0,1,0,0,0,1,7,2,0,1,0,0,0,0,5,3,0,27,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,20,0,302,0,10,0,2999,0,16,0,4,77,0,25,0,59,313,48,176,0,880,46,38,76,235,509,1799,3448,1089,1442,618,304,73,358,1196,229,52,432,5618,0,1068,1334,712,277,0,1,2,1,0,0,1,0,0,0,1,4,1,0,5,0,0,1,0,0,0,0,0,0,2,0,1,1,3,3,0,235,0,10,5,2,0,0,0,0,0,0,0,0,5,0,1498,1,1,2,229,64,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,27,50,2,8,0,1,0,1,0,0,0,0,0,0,1,2,0,1,4832,214,96,529,279,357,18,3810,52,5134,31,176,363,4,1117,26,2238,654,1687,7896,1315,5509,8324,1904,60,943,9879,6867,474,4686,255,3150,22,3595,2580,8734,3401,915,11730,546,1491,11038,2502,5173,9318,14029,16,39434,4347,16072,2030,0,1,3,2,0,21,0,7,0,5,6,1,0,3,0,10,0,2,6,0,9,0,0,0,408,10862,56,1,70,67,1,38,71,18,6,192,3,2,2,8,9,11,1,0,7,498,262,0,0,0,232,0,0,5,0,0,0,0,0,1,23,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,7,0,4,0,2,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0
"ASV0005",4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,1,0,0,5,1,0,0,0,0,3,2,0,1,0,1,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,1,0,0,0,0,0,2,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,7,2,0,0,5,31,9,0,0,0,0,2,0,1,0,1,0,0,1,2,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,4,1,2,0,2,0,594,51,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,13,3,0,0,0,2,3,0,0,0,0,3,2,0,0,1,0,137
"ASV0006",2747,171,700,5,0,3619,166,0,52,0,8,679,286,10,50,32,79,1,14,3447,26,2537,225,343,585,40,161,234,256,1,6557,1092,5302,2111,10955,2133,1476,4009,1872,4355,176,2663,1571,10,167,0,152,70,5,10,0,0,0,43,0,875,7,0,2,4,0,0,0,0,179,67,1,4,0,404,204,573,0,25,1743,52,636,70,1295,385,1310,29,0,151,227,3705,38,3290,227,1507,0,17,15,0,0,0,37,2,32,1,198,2,1,34,0,16,0,13,0,99,50,53,3,14,0,2,0,0,336,123,0,44,70,25,97,0,0,136,853,125,39,19,2,93,1411,2431,66,515,1357,268,378,3765,1350,62,2,0,6,0,0,0,7,0,12,31,15,0,50,0,1,21,0,1542,2,25,236,2,0,44,1367,2729,206,128,31,6019,71,0,797,72,1253,725,1621,0,4842,35,891,1149,0,27,0,141,31,0,0,10,2,22,0,0,194,0,0,0,0,32,1,143,0,95,0,0,0,19,510,105,3,213,569,158,14,63,0,0,17,0,1704,0,2,0,48,428,689,705,1,2092,15,0,0,13,0,0,0,2,0,0,1,0,1,0,2,3,28,0,285,0,2,0,1,0,0,0,0,0,14,323,1275,5,110,6973,54,369,2,10,1103,0,2,0,525,61,64,2306,437,5,0,712,2,0,2,0,0,0,0,52,0,25,0,80,2,5,0,0,0,1,72,0,7,0,4,2,0,0,0,1,1,0,0,0,0,20,0,0,0,35,1,220,0,0,0,0,11,0,0,4,0,359,66,0,28,22,0,0,0,272,87,0,123,0
"ASV0007",0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,5539,34,0,1785,156,0,0,72,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,12,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,9219,15146,34,0,0,0,17581,348,0,526,338,11616,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,104,0,0,0,0,0,13,0,3797,27,46,0,0,2819,18,4648,0,176,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2653,12,13,120,0,196,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,226,0,4,0,0,12076,2495,1,47,0,0,0,12554,0,0,545,47,1106,0,0,0,0,0,3,0,0,1,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,10485,0,1460,0,0,3,18,7836,938,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,241,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV0008",2,9,0,2247,0,1538,2688,0,0,35,0,0,8,36,1,0,0,0,0,1,0,0,0,0,0,2,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,5,1,0,0,0,4,0,0,0,53,0,0,0,4,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1222,3207,77,0,0,0,0,135,0,0,0,2,0,0,1,0,1,0,0,0,0,3,1,3,0,0,1,0,2,2,0,0,1,0,0,1,0,109,0,3253,0,0,0,0,1,0,0,0,3,0,2,5,11,0,4432,0,26,0,1,0,0,0,32,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1036,0,0,0,694,4,11402,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5266,17923,2151,0,59,15,0,7117,1,0,3,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,16488,0,41,0,1,0,0,0,0,1,0,0,0,4,0,0,0,1,1,2,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,53,1,0,1,0,0
"ASV0009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,15,0,206,140,0,7,21,22,93,24,95,801,209,1082,297,90,25,3931,1,163,0,0,3613,936,4211,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,25,0,7,0,0,119,0,43,0,0,7,59,1798,24,29,237,625,63,30,1416,425,727,95,0,0,8889,2779,121,8315,31,0,0,0,6190,5,0,0,0,0,0,2,0,0,0,0,0,0,6,73,0,0,16,18,4,33,80,24,4,0,6,0,29,160,200,2,397,199,605,105,55,0,411,0,172,1262,780,4,0,339,27,2317,286,72,0,928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26484,138,0,0,107,28,43,0,0,0,9,56,0,0,0,41,0,2,0,206,338,0,0,0,0,11411,192,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,18,0,207,0,0,0,0,32,21,0,0,422,0,13,0,0,0,217,0,160,1,0,115,0,0,0,93,1479,79,8944,9,0,0,0,903,0,0,0,0,0,0,0,1,0,0,0,0,2,14,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,1,82,21,0,0,2,0,451,945,505,20,976,108,0,0,0,1764,0,0,0,0,0,0,0,0,20,23,0,28,0,0,24,0,0,0,0,0,0,0,5,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,23,0,0,0,1,112,0,0,43
"ASV0010",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,123,46,14,0,0,563,1581,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,12948,853,253,0,30,179,6507,424,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,19,105,641,80,974,2784,3806,275,0,76,2248,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1278,546,0,1319,235,0,0,1010,5565,12422,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4655,0,0,4893,0,1908,0,0,0,0,9179,132,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,7,0,0,3,0,945,227,469,10461,786,0,0,398,1,0,0,1,0,0,0,7476,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,43,0,0,0,0,1,0,0,0,0
