"","TimePoint","Type","PlantID","WeightGrams","SampleNotes","Water","Inoculum","Replicate","PlantNotes","SampleType","Sample_or_Control"
"KSTRAW0815","T1","Root","R01I01W01",0.2675,"",1,"1",1,"","post_inoc_post_stress","True Sample"
"KSTRAW0816","T1","Root","R02I01W01",0.188,"",1,"1",2,"","post_inoc_post_stress","True Sample"
"KSTRAW0817","T1","Root","R03I01W01",0.2581,"",1,"1",3,"P11","post_inoc_post_stress","True Sample"
"KSTRAW0818","T1","Root","R04I01W01",0.067,"",1,"1",4,"","post_inoc_post_stress","True Sample"
"KSTRAW0819","T1","Root","R05I01W01",0.1729,"",1,"1",5,"","post_inoc_post_stress","True Sample"
"KSTRAW0820","T1","Root","R06I01W01",0.1321,"",1,"1",6,"","post_inoc_post_stress","True Sample"
"KSTRAW0821","T1","Root","R07I01W01",0.0334,"",1,"1",7,"","post_inoc_post_stress","True Sample"
"KSTRAW0822","T1","Root","R08I01W01",0.1349,"",1,"1",8,"","post_inoc_post_stress","True Sample"
"KSTRAW0823","T1","Root","R09I01W01",0.1169,"",1,"1",9,"","post_inoc_post_stress","True Sample"
"KSTRAW0824","T1","Root","R10I01W01",0.0696,"",1,"1",10,"","post_inoc_post_stress","True Sample"
"KSTRAW0825","T1","Root","R11I01W01",0.1303,"",1,"1",11,"","post_inoc_post_stress","True Sample"
"KSTRAW0826","T1","Root","R12I01W01",0.1895,"",1,"1",12,"","post_inoc_post_stress","True Sample"
"KSTRAW0827","T1","Root","R13I01W01",0.2464,"",1,"1",13,"P19","post_inoc_post_stress","True Sample"
"KSTRAW0828","T1","Root","R14I01W01",0.2234,"",1,"1",14,"","post_inoc_post_stress","True Sample"
"KSTRAW0860","T1","Root","R04I04W01",0.1201,"",1,"4",4,"","post_inoc_post_stress","True Sample"
"KSTRAW0861","T1","Root","R05I04W01",0.1131,"",1,"4",5,"","post_inoc_post_stress","True Sample"
"KSTRAW0863","T1","Root","R07I04W01",0.1961,"",1,"4",7,"P15","post_inoc_post_stress","True Sample"
"KSTRAW0864","T1","Root","R08I04W01",0.1217,"",1,"4",8,"","post_inoc_post_stress","True Sample"
"KSTRAW0865","T1","Root","R09I04W01",0.2347,"",1,"4",9,"","post_inoc_post_stress","True Sample"
"KSTRAW0866","T1","Root","R10I04W01",0.0445,"",1,"4",10,"","post_inoc_post_stress","True Sample"
"KSTRAW0868","T1","Root","R12I04W01",0.0785,"",1,"4",12,"","post_inoc_post_stress","True Sample"
"KSTRAW0869","T1","Root","R13I04W01",0.3013,"",1,"4",13,"","post_inoc_post_stress","True Sample"
"KSTRAW0870","T1","Root","R14I04W01",0.2076,"",1,"4",14,"P27","post_inoc_post_stress","True Sample"
"KSTRAW0871","T1","Root","R01I05W01",0.2357,"",1,"5",1,"P14","post_inoc_post_stress","True Sample"
"KSTRAW0872","T1","Root","R02I05W01",0.08541,"",1,"5",2,"","post_inoc_post_stress","True Sample"
"KSTRAW0873","T1","Root","R03I05W01",0.0288,"",1,"5",3,"","post_inoc_post_stress","True Sample"
"KSTRAW0874","T1","Root","R04I05W01",0.0469,"",1,"5",4,"","post_inoc_post_stress","True Sample"
"KSTRAW0875","T1","Root","R05I05W01",0.1002,"",1,"5",5,"","post_inoc_post_stress","True Sample"
"KSTRAW0876","T1","Root","R06I05W01",0.2749,"",1,"5",6,"P17","post_inoc_post_stress","True Sample"
"KSTRAW0877","T1","Root","R07I05W01",0.3748,"",1,"5",7,"P13","post_inoc_post_stress","True Sample"
"KSTRAW0879","T1","Root","R09I05W01",0.17031,"",1,"5",9,"","post_inoc_post_stress","True Sample"
"KSTRAW0880","T1","Root","R10I05W01",0.3801,"",1,"5",10,"P21","post_inoc_post_stress","True Sample"
"KSTRAW0881","T1","Root","R11I05W01",0.41185,"",1,"5",11,"P20","post_inoc_post_stress","True Sample"
"KSTRAW0885","T1","Root","R01I06W01",0.1071,"",1,"6",1,"","i6","Control"
"KSTRAW0888","T1","Root","R04I06W01",0.1043,"",1,"6",4,"","i6","Control"
"KSTRAW0890","T1","Root","R06I06W01",0.1317,"",1,"6",6,"","i6","Control"
"KSTRAW0891","T1","Root","R07I06W01",0.1251,"",1,"6",7,"","i6","Control"
"KSTRAW0892","T1","Root","R08I06W01",0.1508,"",1,"6",8,"","i6","Control"
"KSTRAW0893","T1","Root","R09I06W01",0.3535,"",1,"6",9,"P28","i6","Control"
"KSTRAW0894","T1","Root","R10I06W01",0.1285,"",1,"6",10,"","i6","Control"
"KSTRAW0896","T1","Root","R12I06W01",0.0301,"",1,"6",12,"","i6","Control"
"KSTRAW0897","T1","Root","R13I06W01",0.1912,"",1,"6",13,"","i6","Control"
"KSTRAW0898","T1","Root","R14I06W01",0.1261,"",1,"6",14,"","i6","Control"
"KSTRAW0899","T1","Root","R01I01W02",0.1108,"",2,"1",1,"","post_inoc_post_stress","True Sample"
"KSTRAW0900","T1","Root","R02I01W02",0.1343,"",2,"1",2,"","post_inoc_post_stress","True Sample"
"KSTRAW0901","T1","Root","R03I01W02",0.1755,"",2,"1",3,"","post_inoc_post_stress","True Sample"
