"","PlantID","Water","Inoculum","sample_data","mortality","mort.binary","Inoc.pres.abs"
"1","R01I01W01","Low","Dry",1,"alive",1,"Inoc"
"2","R02I01W01","Low","Dry",2,"alive",1,"Inoc"
"3","R03I01W01","Low","Dry",3,"alive",1,"Inoc"
"4","R04I01W01","Low","Dry",4,"alive",1,"Inoc"
"5","R05I01W01","Low","Dry",5,"alive",1,"Inoc"
"6","R06I01W01","Low","Dry",6,"alive",1,"Inoc"
"7","R07I01W01","Low","Dry",7,"alive",1,"Inoc"
"8","R08I01W01","Low","Dry",8,"alive",1,"Inoc"
"9","R09I01W01","Low","Dry",9,"alive",1,"Inoc"
"10","R10I01W01","Low","Dry",10,"alive",1,"Inoc"
"11","R11I01W01","Low","Dry",11,"alive",1,"Inoc"
"12","R12I01W01","Low","Dry",12,"alive",1,"Inoc"
"13","R13I01W01","Low","Dry",13,"alive",1,"Inoc"
"14","R14I01W01","Low","Dry",14,"alive",1,"Inoc"
"43","R01I04W01","Low","Moderate",1,"alive",1,"Inoc"
"44","R02I04W01","Low","Moderate",2,"dead",0,"Inoc"
"45","R03I04W01","Low","Moderate",3,"alive",1,"Inoc"
"46","R04I04W01","Low","Moderate",4,"alive",1,"Inoc"
"47","R05I04W01","Low","Moderate",5,"alive",1,"Inoc"
"48","R06I04W01","Low","Moderate",6,"alive",1,"Inoc"
"49","R07I04W01","Low","Moderate",7,"alive",1,"Inoc"
"50","R08I04W01","Low","Moderate",8,"alive",1,"Inoc"
"51","R09I04W01","Low","Moderate",9,"alive",1,"Inoc"
"52","R10I04W01","Low","Moderate",10,"alive",1,"Inoc"
"53","R11I04W01","Low","Moderate",11,"alive",1,"Inoc"
"54","R12I04W01","Low","Moderate",12,"alive",1,"Inoc"
"55","R13I04W01","Low","Moderate",13,"alive",1,"Inoc"
"56","R14I04W01","Low","Moderate",14,"alive",1,"Inoc"
"57","R01I05W01","Low","Wet",1,"alive",1,"Inoc"
"58","R02I05W01","Low","Wet",2,"alive",1,"Inoc"
"59","R03I05W01","Low","Wet",3,"alive",1,"Inoc"
"60","R04I05W01","Low","Wet",4,"alive",1,"Inoc"
"61","R05I05W01","Low","Wet",5,"alive",1,"Inoc"
"62","R06I05W01","Low","Wet",6,"alive",1,"Inoc"
"63","R07I05W01","Low","Wet",7,"alive",1,"Inoc"
"64","R08I05W01","Low","Wet",8,"alive",1,"Inoc"
"65","R09I05W01","Low","Wet",9,"alive",1,"Inoc"
"66","R10I05W01","Low","Wet",10,"alive",1,"Inoc"
"67","R11I05W01","Low","Wet",11,"alive",1,"Inoc"
"68","R12I05W01","Low","Wet",12,"dead",0,"Inoc"
"69","R13I05W01","Low","Wet",13,"alive",1,"Inoc"
"70","R14I05W01","Low","Wet",14,"alive",1,"Inoc"
"71","R01I06W01","Low","Control",1,"alive",1,"Non.inoc"
"72","R02I06W01","Low","Control",2,"dead",0,"Non.inoc"
"73","R03I06W01","Low","Control",3,"dead",0,"Non.inoc"
"74","R04I06W01","Low","Control",4,"alive",1,"Non.inoc"
"75","R05I06W01","Low","Control",5,"dead",0,"Non.inoc"
"76","R06I06W01","Low","Control",6,"alive",1,"Non.inoc"
"77","R07I06W01","Low","Control",7,"alive",1,"Non.inoc"
"78","R08I06W01","Low","Control",8,"alive",1,"Non.inoc"
"79","R09I06W01","Low","Control",9,"alive",1,"Non.inoc"
"80","R10I06W01","Low","Control",10,"alive",1,"Non.inoc"
"81","R11I06W01","Low","Control",11,"dead",0,"Non.inoc"
"82","R12I06W01","Low","Control",12,"alive",1,"Non.inoc"
"83","R13I06W01","Low","Control",13,"alive",1,"Non.inoc"
"84","R14I06W01","Low","Control",14,"alive",1,"Non.inoc"
"85","R01I01W02","Moderate","Dry",1,"alive",1,"Inoc"
"86","R02I01W02","Moderate","Dry",2,"alive",1,"Inoc"
"87","R03I01W02","Moderate","Dry",3,"alive",1,"Inoc"
"88","R04I01W02","Moderate","Dry",4,"alive",1,"Inoc"
"89","R05I01W02","Moderate","Dry",5,"alive",1,"Inoc"
"90","R06I01W02","Moderate","Dry",6,"alive",1,"Inoc"
"91","R07I01W02","Moderate","Dry",7,"alive",1,"Inoc"
"92","R08I01W02","Moderate","Dry",8,"alive",1,"Inoc"
"93","R09I01W02","Moderate","Dry",9,"alive",1,"Inoc"
"94","R10I01W02","Moderate","Dry",10,"alive",1,"Inoc"
"95","R11I01W02","Moderate","Dry",11,"alive",1,"Inoc"
"96","R12I01W02","Moderate","Dry",12,"alive",1,"Inoc"
"97","R13I01W02","Moderate","Dry",13,"alive",1,"Inoc"
"98","R14I01W02","Moderate","Dry",14,"alive",1,"Inoc"
"127","R01I04W02","Moderate","Moderate",1,"alive",1,"Inoc"
"128","R02I04W02","Moderate","Moderate",2,"alive",1,"Inoc"
"129","R03I04W02","Moderate","Moderate",3,"alive",1,"Inoc"
"130","R04I04W02","Moderate","Moderate",4,"alive",1,"Inoc"
"131","R05I04W02","Moderate","Moderate",5,"alive",1,"Inoc"
"132","R06I04W02","Moderate","Moderate",6,"alive",1,"Inoc"
"133","R07I04W02","Moderate","Moderate",7,"alive",1,"Inoc"
"134","R08I04W02","Moderate","Moderate",8,"alive",1,"Inoc"
"135","R09I04W02","Moderate","Moderate",9,"alive",1,"Inoc"
"136","R10I04W02","Moderate","Moderate",10,"alive",1,"Inoc"
"137","R11I04W02","Moderate","Moderate",11,"alive",1,"Inoc"
"138","R12I04W02","Moderate","Moderate",12,"alive",1,"Inoc"
"139","R13I04W02","Moderate","Moderate",13,"alive",1,"Inoc"
"140","R14I04W02","Moderate","Moderate",14,"alive",1,"Inoc"
"141","R01I05W02","Moderate","Wet",1,"alive",1,"Inoc"
"142","R02I05W02","Moderate","Wet",2,"alive",1,"Inoc"
"143","R03I05W02","Moderate","Wet",3,"alive",1,"Inoc"
"144","R04I05W02","Moderate","Wet",4,"alive",1,"Inoc"
"145","R05I05W02","Moderate","Wet",5,"alive",1,"Inoc"
"146","R06I05W02","Moderate","Wet",6,"alive",1,"Inoc"
"147","R07I05W02","Moderate","Wet",7,"alive",1,"Inoc"
"148","R08I05W02","Moderate","Wet",8,"alive",1,"Inoc"
"149","R09I05W02","Moderate","Wet",9,"alive",1,"Inoc"
"150","R10I05W02","Moderate","Wet",10,"alive",1,"Inoc"
"151","R11I05W02","Moderate","Wet",11,"alive",1,"Inoc"
"152","R12I05W02","Moderate","Wet",12,"alive",1,"Inoc"
"153","R13I05W02","Moderate","Wet",13,"alive",1,"Inoc"
