#OTU ID	TimePoint	Type	PlantID	WeightGrams	SampleNotes	Water	Inoculum	Replicate	PlantNotes	SampleType	Sample_or_Control
KSTRAW0016	Control	Shoot		NA	pre-inoc shoots	NA	Initi Ctl	10		pre_inoc	Control
KSTRAW0815	T1	Root	R01I01W01	0.2675		1	1	1		post_inoc_post_stress	True Sample
KSTRAW0816	T1	Root	R02I01W01	0.188		1	1	2		post_inoc_post_stress	True Sample
KSTRAW0817	T1	Root	R03I01W01	0.2581		1	1	3	P11	post_inoc_post_stress	True Sample
KSTRAW0818	T1	Root	R04I01W01	0.067		1	1	4		post_inoc_post_stress	True Sample
KSTRAW0819	T1	Root	R05I01W01	0.1729		1	1	5		post_inoc_post_stress	True Sample
KSTRAW0820	T1	Root	R06I01W01	0.1321		1	1	6		post_inoc_post_stress	True Sample
KSTRAW0821	T1	Root	R07I01W01	0.0334		1	1	7		post_inoc_post_stress	True Sample
KSTRAW0822	T1	Root	R08I01W01	0.1349		1	1	8		post_inoc_post_stress	True Sample
KSTRAW0823	T1	Root	R09I01W01	0.1169		1	1	9		post_inoc_post_stress	True Sample
KSTRAW0824	T1	Root	R10I01W01	0.0696		1	1	10		post_inoc_post_stress	True Sample
KSTRAW0825	T1	Root	R11I01W01	0.1303		1	1	11		post_inoc_post_stress	True Sample
KSTRAW0826	T1	Root	R12I01W01	0.1895		1	1	12		post_inoc_post_stress	True Sample
KSTRAW0827	T1	Root	R13I01W01	0.2464		1	1	13	P19	post_inoc_post_stress	True Sample
KSTRAW0828	T1	Root	R14I01W01	0.2234		1	1	14		post_inoc_post_stress	True Sample
KSTRAW0829	T1	Root	R01I02W01	0.0677		1	2	1		post_inoc_post_stress	True Sample
KSTRAW0830	T1	Root	R02I02W01	0.255		1	2	2		post_inoc_post_stress	True Sample
KSTRAW0831	T1	Root	R03I02W01	0.1171		1	2	3		post_inoc_post_stress	True Sample
KSTRAW0832	T1	Root	R04I02W01	0.1804		1	2	4		post_inoc_post_stress	True Sample
KSTRAW0833	T1	Shoot	R01I02W01	0.02123		1	2	1		post_inoc_post_stress	True Sample
KSTRAW0834	T1	Root	R05I02W01	0.0617		1	2	5		post_inoc_post_stress	True Sample
KSTRAW0835	T1	Shoot	R05I02W01	0.01988		1	2	5		post_inoc_post_stress	True Sample
KSTRAW0836	T1	Root	R06I02W01	0.2493		1	2	6		post_inoc_post_stress	True Sample
KSTRAW0837	T1	Shoot	R06I02W01	0.04132		1	2	6		post_inoc_post_stress	True Sample
KSTRAW0838	T1	Root	R07I02W01	0.0884		1	2	7		post_inoc_post_stress	True Sample
KSTRAW0839	T1	Shoot	R07I02W01	0.04715		1	2	7		post_inoc_post_stress	True Sample
KSTRAW0840	T1	Root	R08I02W01	0.1509		1	2	8		post_inoc_post_stress	True Sample
KSTRAW0841	T1	Shoot	R08I02W01	0.07335		1	2	8		post_inoc_post_stress	True Sample
KSTRAW0842	T1	Root	R09I02W01	0.2546		1	2	9	P25	post_inoc_post_stress	True Sample
KSTRAW0843	T1	Root	R01I03W01	0.0511		1	3	1		post_inoc_post_stress	True Sample
KSTRAW0844	T1	Root	R02I03W01	0.1038		1	3	2		post_inoc_post_stress	True Sample
KSTRAW0845	T1	Root	R03I03W01	0.2043		1	3	3		post_inoc_post_stress	True Sample
KSTRAW0847	T1	Root	R05I03W01	0.0304	labeled as number 4	1	3	5	P10	post_inoc_post_stress	True Sample
KSTRAW0850	T1	Root	R08I03W01	0.2615		1	3	8		post_inoc_post_stress	True Sample
KSTRAW0851	T1	Root	R09I03W01	0.5181		1	3	9	P23	post_inoc_post_stress	True Sample
KSTRAW0852	T1	Root	R10I03W01	0.1227		1	3	10		post_inoc_post_stress	True Sample
KSTRAW0853	T1	Root	R11I03W01	0.0301	no sample saved	1	3	11		post_inoc_post_stress	True Sample
KSTRAW0855	T1	Root	R13I03W01	0.3581		1	3	13	P22	post_inoc_post_stress	True Sample
KSTRAW0856	T1	Root	R14I03W01	0.1528		1	3	14		post_inoc_post_stress	True Sample
KSTRAW0860	T1	Root	R04I04W01	0.1201		1	4	4		post_inoc_post_stress	True Sample
KSTRAW0861	T1	Root	R05I04W01	0.1131		1	4	5		post_inoc_post_stress	True Sample
KSTRAW0863	T1	Root	R07I04W01	0.1961		1	4	7	P15	post_inoc_post_stress	True Sample
KSTRAW0864	T1	Root	R08I04W01	0.1217		1	4	8		post_inoc_post_stress	True Sample
KSTRAW0865	T1	Root	R09I04W01	0.2347		1	4	9		post_inoc_post_stress	True Sample
KSTRAW0866	T1	Root	R10I04W01	0.0445		1	4	10		post_inoc_post_stress	True Sample
KSTRAW0868	T1	Root	R12I04W01	0.0785		1	4	12		post_inoc_post_stress	True Sample
KSTRAW0869	T1	Root	R13I04W01	0.3013		1	4	13		post_inoc_post_stress	True Sample
KSTRAW0870	T1	Root	R14I04W01	0.2076		1	4	14	P27	post_inoc_post_stress	True Sample
KSTRAW0871	T1	Root	R01I05W01	0.2357		1	5	1	P14	post_inoc_post_stress	True Sample
