SampleID,Type,PlantID,TotalBiomass,Water,Inoculation,Replicate,RootShootRatio
1,WholePlant,R01I01W01,0.41326,1,1,1,1.835208562
2,WholePlant,R01I01W02,0.16855,2,1,1,1.918614719
3,WholePlant,R01I01W03,0.08565,3,1,1,1.749598716
4,WholePlant,R01I02W01,0.08893,1,2,1,3.188883655
5,WholePlant,R01I02W02,0.30893,2,2,1,1.817933048
6,WholePlant,R01I02W03,0.05041,3,2,1,1.090833679
7,WholePlant,R01I03W01,0.07566,1,3,1,2.080618893
8,WholePlant,R01I03W02,0.3359,2,3,1,2.03432701
9,WholePlant,R01I03W03,0.29639,3,3,1,1.537802894
10,WholePlant,R01I04W02,0.33497,2,4,1,1.372812921
11,WholePlant,R01I04W03,0.2302,3,4,1,2.061170213
12,WholePlant,R01I05W01,0.31259,1,5,1,1.835208562
13,WholePlant,R01I05W02,0.50525,2,5,1,1.61043658
14,WholePlant,R01I05W03,0.50608,3,5,1,1.738824548
15,WholePlant,R02I01W01,0.22468,1,1,2,5.125408942
16,WholePlant,R02I01W02,0.23761,2,1,2,1.299970961
17,WholePlant,R02I01W03,0.18156,3,1,2,1.45152579
18,WholePlant,R02I02W01,0.37914,1,2,2,2.054132431
19,WholePlant,R02I02W02,0.30731,2,2,2,1.86643037
20,WholePlant,R02I02W03,0.1678,3,2,2,1.298630137
21,WholePlant,R02I03W01,0.13264,1,3,2,3.599167822
22,WholePlant,R02I03W02,0.18757,2,3,2,2.091643316
23,WholePlant,R02I04W02,0.5519,2,4,2,1.434494927
24,WholePlant,R02I04W03,0.18238,3,4,2,1.465260881
25,WholePlant,R02I05W01,0.12429,1,5,2,2.196759259
26,WholePlant,R02I05W02,0.36792,2,5,2,1.671507406
27,WholePlant,R02I05W03,0.18917,3,5,2,1.55738813
28,WholePlant,R03I01W01,0.39777,1,1,3,1.847927257
29,WholePlant,R03I01W02,0.33579,2,1,3,1.094890511
30,WholePlant,R03I01W03,0.29899,3,1,3,1.551326905
