SampleID,TimePoint,Type,PlantID,WeightGrams,SampleNotes,Water,WaterLabeled,Inoculation,InoculationLabeled,Replicate,PlantNotes,SampleType,Sample_or_Control,is.neg,SpeciesRichness
KSTRAW0815,T1,Root,R01I01W01,0.2675,,1,W1,1,I1,1,,post_inoc_post_stress,True Sample,FALSE,41655
KSTRAW0816,T1,Root,R02I01W01,0.188,,1,W1,1,I1,2,,post_inoc_post_stress,True Sample,FALSE,5790
KSTRAW0817,T1,Root,R03I01W01,0.2581,,1,W1,1,I1,3,P11,post_inoc_post_stress,True Sample,FALSE,4193
KSTRAW0818,T1,Root,R04I01W01,0.067,,1,W1,1,I1,4,,post_inoc_post_stress,True Sample,FALSE,6874
KSTRAW0819,T1,Root,R05I01W01,0.1729,,1,W1,1,I1,5,,post_inoc_post_stress,True Sample,FALSE,9630
KSTRAW0820,T1,Root,R06I01W01,0.1321,,1,W1,1,I1,6,,post_inoc_post_stress,True Sample,FALSE,6594
KSTRAW0821,T1,Root,R07I01W01,0.0334,,1,W1,1,I1,7,,post_inoc_post_stress,True Sample,FALSE,13474
KSTRAW0822,T1,Root,R08I01W01,0.1349,,1,W1,1,I1,8,,post_inoc_post_stress,True Sample,FALSE,19329
KSTRAW0823,T1,Root,R09I01W01,0.1169,,1,W1,1,I1,9,,post_inoc_post_stress,True Sample,FALSE,1351
KSTRAW0824,T1,Root,R10I01W01,0.0696,,1,W1,1,I1,10,,post_inoc_post_stress,True Sample,FALSE,2897
KSTRAW0825,T1,Root,R11I01W01,0.1303,,1,W1,1,I1,11,,post_inoc_post_stress,True Sample,FALSE,1893
KSTRAW0826,T1,Root,R12I01W01,0.1895,,1,W1,1,I1,12,,post_inoc_post_stress,True Sample,FALSE,3267
KSTRAW0827,T1,Root,R13I01W01,0.2464,,1,W1,1,I1,13,P19,post_inoc_post_stress,True Sample,FALSE,1611
KSTRAW0828,T1,Root,R14I01W01,0.2234,,1,W1,1,I1,14,,post_inoc_post_stress,True Sample,FALSE,1618
KSTRAW0829,T1,Root,R01I02W01,0.0677,,1,W1,2,I2,1,,post_inoc_post_stress,True Sample,FALSE,1139
KSTRAW0830,T1,Root,R02I02W01,0.255,,1,W1,2,I2,2,,post_inoc_post_stress,True Sample,FALSE,4291
KSTRAW0831,T1,Root,R03I02W01,0.1171,,1,W1,2,I2,3,,post_inoc_post_stress,True Sample,FALSE,6324
KSTRAW0832,T1,Root,R04I02W01,0.1804,,1,W1,2,I2,4,,post_inoc_post_stress,True Sample,FALSE,12577
KSTRAW0833,T1,Shoot,R01I02W01,0.02123,,1,W1,2,I2,1,,post_inoc_post_stress,True Sample,FALSE,10394
KSTRAW0834,T1,Root,R05I02W01,0.0617,,1,W1,2,I2,5,,post_inoc_post_stress,True Sample,FALSE,1398
KSTRAW0835,T1,Shoot,R05I02W01,0.01988,,1,W1,2,I2,5,,post_inoc_post_stress,True Sample,FALSE,8088
KSTRAW0836,T1,Root,R06I02W01,0.2493,,1,W1,2,I2,6,,post_inoc_post_stress,True Sample,FALSE,3600
KSTRAW0837,T1,Shoot,R06I02W01,0.04132,,1,W1,2,I2,6,,post_inoc_post_stress,True Sample,FALSE,22839
KSTRAW0838,T1,Root,R07I02W01,0.0884,,1,W1,2,I2,7,,post_inoc_post_stress,True Sample,FALSE,10254
KSTRAW0839,T1,Shoot,R07I02W01,0.04715,,1,W1,2,I2,7,,post_inoc_post_stress,True Sample,FALSE,11557
KSTRAW0840,T1,Root,R08I02W01,0.1509,,1,W1,2,I2,8,,post_inoc_post_stress,True Sample,FALSE,7793
KSTRAW0841,T1,Shoot,R08I02W01,0.07335,,1,W1,2,I2,8,,post_inoc_post_stress,True Sample,FALSE,11448
KSTRAW0842,T1,Root,R09I02W01,0.2546,,1,W1,2,I2,9,P25,post_inoc_post_stress,True Sample,FALSE,18643
KSTRAW0843,T1,Root,R01I03W01,0.0511,,1,W1,3,I3,1,,post_inoc_post_stress,True Sample,FALSE,10768
KSTRAW0844,T1,Root,R02I03W01,0.1038,,1,W1,3,I3,2,,post_inoc_post_stress,True Sample,FALSE,11888
KSTRAW0845,T1,Root,R03I03W01,0.2043,,1,W1,3,I3,3,,post_inoc_post_stress,True Sample,FALSE,12501
KSTRAW0846,T1,Root,R04I03W01,0.2621,"4 was duplicated, either rep 5 or 7",1,W1,3,I3,4,,post_inoc_post_stress,True Sample,FALSE,6608
KSTRAW0847,T1,Root,R05I03W01,0.0304,labeled as number 4,1,W1,3,I3,5,P10,post_inoc_post_stress,True Sample,FALSE,3832
KSTRAW0848,T1,Root,R06I03W01,0.2032,,1,W1,3,I3,6,P16,post_inoc_post_stress,True Sample,FALSE,7
KSTRAW0850,T1,Root,R08I03W01,0.2615,,1,W1,3,I3,8,,post_inoc_post_stress,True Sample,FALSE,19275
KSTRAW0851,T1,Root,R09I03W01,0.5181,,1,W1,3,I3,9,P23,post_inoc_post_stress,True Sample,FALSE,12367
KSTRAW0852,T1,Root,R10I03W01,0.1227,,1,W1,3,I3,10,,post_inoc_post_stress,True Sample,FALSE,10734
KSTRAW0853,T1,Root,R11I03W01,0.0301,no sample saved,1,W1,3,I3,11,,post_inoc_post_stress,True Sample,FALSE,10173
KSTRAW0854,T1,Root,R12I03W01,0.0959,,1,W1,3,I3,12,,post_inoc_post_stress,True Sample,FALSE,556
