SampleID	TimePoint	Type	PlantID	WeightGrams	SampleNotes	Water	Inoculation	Replicate	PlantNotes	SampleType	Sample_or_Control
KSTRAW1074	T1	Shoot	R08I01W01	0.09991		Low	Dry Inoculation	8		post_inoc_post_stress	True Sample
KSTRAW1437	T0	Shoot	R02I04W03	NA	Time 0 DNA pooled leaves 10 mg	High	Medium Inoculation	2	Pooled plants	post_inoc_pre_stress	True Sample
KSTRAW1091	T1	Root	R13I02W01	0.1151		Low	2	13		post_inoc_post_stress	True Sample
KSTRAW0848	T1	Root	R06I03W01	0.2032		Low	3	6	P16	post_inoc_post_stress	True Sample
KSTRAW1046	T1	Root	R08I05W03	0.2075		High	Wet Inoculation	8	P9	post_inoc_post_stress	True Sample
KSTRAW1132	T1	Shoot	R10I05W01	0.14424	*may be sample 10 from inoc 6/water3	Low	Wet Inoculation	10	P21	post_inoc_post_stress	True Sample
KSTRAW1364	T0	Shoot	R06I05W01	NA	Time 0 DNA pooled leaves 10 mg	Low	Wet Inoculation	6	Pooled plants	post_inoc_pre_stress	True Sample
KSTRAW1162	T1	Shoot	R12I01W02	0.01339		Medium	Dry Inoculation	12		post_inoc_post_stress	True Sample
KSTRAW0856	T1	Root	R14I03W01	0.1528		Low	3	14		post_inoc_post_stress	True Sample
KSTRAW0867	T1	Root	R11I04W01	0.0811		Low	Medium Inoculation	11		post_inoc_post_stress	True Sample
KSTRAW1409	T0	Shoot	R02I06W02	NA	Time 0 DNA pooled leaves 10 mg	Medium	No Inoculation	2	Pooled plants	post_inoc_pre_stress	Control
KSTRAW1388	T0	Shoot	R02I03W02	NA	Time 0 DNA pooled leaves 10 mg	Medium	3	2	Pooled plants	post_inoc_pre_stress	True Sample
KSTRAW1249	T1	Shoot	R01I02W03	0.02411		High	2	1		post_inoc_post_stress	True Sample
KSTRAW0870	T1	Root	R14I04W01	0.2076		Low	Medium Inoculation	14	P27	post_inoc_post_stress	True Sample
KSTRAW0906	T1	Root	R08I01W02	0.0777		Medium	Dry Inoculation	8		post_inoc_post_stress	True Sample
KSTRAW0945	T1	Root	R05I04W02	0.3142		Medium	Medium Inoculation	5		post_inoc_post_stress	True Sample
KSTRAW1282	T1	Shoot	R06I04W03	0.40463		High	Medium Inoculation	6	P2	post_inoc_post_stress	True Sample
KSTRAW1323	Control	Inoculum 5	R00I05W00	NA	Inoculum 5-ridge rep 1	NA	InitialSource	NA		slurry	True Sample
KSTRAW0841	T1	Shoot	R08I02W01	0.07335		Low	2	8		post_inoc_post_stress	True Sample
KSTRAW1366	T0	Shoot	R01I06W01	NA	Time 0 DNA pooled leaves 10 mg	Low	No Inoculation	1	Pooled plants	post_inoc_pre_stress	Control
KSTRAW1362	T0	Shoot	R04I05W01	NA	Time 0 DNA pooled leaves 10 mg	Low	Wet Inoculation	4	Pooled plants	post_inoc_pre_stress	True Sample
KSTRAW0994	T1	Root	R12I01W03	0.0812		High	Dry Inoculation	12		post_inoc_post_stress	True Sample
KSTRAW1140	T1	Shoot	R04I06W01	0.10879		Low	No Inoculation	4		post_inoc_post_stress	Control
