"","sample_type","replicate","se","richness"
"1","Inoculum 1",1,0,13
"2","Inoculum 2",1,0,19
"3","Inoculum 3",1,0,15
"4","Inoculum 4",1,0,5
"5","Inoculum 5",1,0,1
"6","Inoculum 1",1,0,9
"7","Inoculum 2",1,0,14
"8","Inoculum 3",1,0,19
"9","Inoculum 4",1,0,5
"10","Inoculum 5",1,0,49
"11","di_water",1,0,18
"12","di_water",1,0,3
"13","W1I1",28,2.87927932530114,33.1428571428571
"14","W1I2",28,2.47072810209812,34.5
"15","W1I3",26,3.58491250006693,31.3076923076923
"16","W1I4",24,5.19080383413248,38.6666666666667
"17","W1I5",26,1.76455904946626,23.3461538461538
"18","W2I1",28,3.86389767144777,37.4285714285714
"19","W2I2",28,3.03746448146978,33.5
"20","W2I3",28,2.94728022003156,34.4642857142857
"21","W2I4",28,4.0568231020132,39.6785714285714
"22","W2I5",28,2.61323308382848,29.2142857142857
"23","W3I1",26,3.04735795937143,37.3846153846154
"24","W3I2",28,2.45184151872738,37.2142857142857
"25","W3I3",26,2.71061904761657,37.0769230769231
"26","W3I4",28,3.3363011164812,41.0357142857143
"27","W3I5",22,1.86595779816312,30.1363636363636
"28","DNA_neg",13,0.977558848241449,6.38461538461539
"29","i6",70,0.761107243056656,20.9714285714286
"30","post_inoc_pre_stress",124,0.492575671285819,12.0564516129032
"31","pre_inoc",20,0.828044621223302,6.35
