"","Domain","Phylum","Class","Order","Family","Genus","Species"
"ASV0001","Fungi","Ascomycota","Eurotiomyetes","o__Eurotiales","f__Aspergillaceae","Penicillium","olonii"
"ASV0002","Fungi","Ascomycota","Leotiomyetes","o__Helotiales","f__Helotiaceae","Tetracladium","furcatum"
"ASV0003","Fungi","Ascomycota","Eurotiomyetes","o__Eurotiales","f__Aspergillaceae","Asperillus","peudodeflectu"
"ASV0004","Fungi","Ascomycota","Sordariomyetes","o__Xylariales","f__Xylariaceae","Zyosporium","peudogibbum"
"ASV0005","Fungi","Ascomycota","NA","NA","NA","NA","NA"
"ASV0006","Fungi","Ascomycota","Eurotiomyetes","o__Eurotiales","f__Trichocomaceae","Talaromyces","aculeatu"
"ASV0007","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Bionectriaceae","Bionectria","olani"
"ASV0008","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Stachybotryaceae","Memnoniella","NA"
"ASV0009","Fungi","Ascomycota","Dothideomyetes","o__Pleosporales","f__Pleosporaceae","Curvularia","americana"
"ASV0010","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Nectriaceae","Cylindrocarpon","NA"
"ASV0011","Fungi","Ascomycota","Eurotiomyetes","o__Chaetothyriales","f__Herpotrichiellaceae","Exophiala","xenobiotica"
"ASV0012","Fungi","Ascomycota","Dothideomyetes","o__Capnodiales","f__Cladosporiaceae","Cladosporium","halotoleran"
"ASV0013","Fungi","Ascomycota","Sordariomyetes","NA","NA","NA","NA"
"ASV0014","Fungi","Basidiomycota","Agariomyetes","NA","NA","NA","NA"
"ASV0015","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Bionectriaceae","Clonostachys","NA"
"ASV0016","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","Acremonium","polychromum"
"ASV0017","Fungi","Ascomycota","Dothideomyetes","o__Capnodiales","f__Cladosporiaceae","Cladosporium","NA"
"ASV0018","Fungi","Ascomycota","Dothideomyetes","o__Capnodiales","f__Cladosporiaceae","Cladosporium","delicatulum"
"ASV0019","Fungi","Basidiomycota","Agariomyetes","o__Agaricales","f__Psathyrellaceae","Coprinellus","dieminatu"
"ASV0020","Fungi","Ascomycota","Eurotiomyetes","o__Chaetothyriales","f__Herpotrichiellaceae","Exophiala","equina"
"ASV0021","Fungi","Ascomycota","Eurotiomyetes","o__Eurotiales","f__Aspergillaceae","Penicillium","retrictum"
"ASV0022","Fungi","Ascomycota","Sordariomyetes","o__Magnaporthales","f__Magnaporthaceae","Mycoleptodiscus","NA"
"ASV0023","Fungi","Ascomycota","Eurotiomyetes","o__Chaetothyriales","f__Cyphellophoraceae","Cyphellophora","uttonii"
"ASV0024","Fungi","Ascomycota","Dothideomyetes","o__Pleosporales","NA","NA","NA"
"ASV0025","Fungi","Basidiomycota","Agariomyetes","o__Sebacinales","NA","NA","NA"
"ASV0026","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Nectriaceae","Fusarium","NA"
"ASV0027","Fungi","Ascomycota","PezizomyotinalsInertaesedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","Pseudohelicomyces","aquaticu"
"ASV0028","Fungi","Ascomycota","Leotiomyetes","o__Helotiales","f__Helotiaceae","Scytalidium","NA"
"ASV0029","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Nectriaceae","Campylospora","parvula"
"ASV0030","Fungi","Ascomycota","Leotiomyetes","o__Helotiales","f__Helotiaceae","Tetracladium","furcatum"
"ASV0031","Fungi","Ascomycota","Sordariomyetes","o__Magnaporthales","f__Magnaporthaceae","Mycoleptodiscus","NA"
"ASV0032","Fungi","Ascomycota","Sordariomyetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","Dictyochaeta","iameni"
"ASV0033","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Nectriaceae","Volutella","NA"
"ASV0034","Fungi","Ascomycota","Eurotiomyetes","o__Eurotiales","f__Aspergillaceae","Penicillium","glandicola"
"ASV0035","Fungi","Ascomycota","Sordariomyetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","Acremonium","charticola"
