"","SampleID","TimePoint","Type","PlantID","WeightGrams","SampleNotes","Water","Inoculation","Replicate","PlantNotes","SampleType","Sample_or_Control"
"1","KSTRAW1074","T1","Shoot","R08I01W01",0.09991,"","Low","Dry Inoculation",8,"","post_inoc_post_stress","True Sample"
"5","KSTRAW1132","T1","Shoot","R10I05W01",0.14424,"*may be sample 10 from inoc 6/water3","Low","Wet Inoculation",10,"P21","post_inoc_post_stress","True Sample"
"6","KSTRAW1162","T1","Shoot","R12I01W02",0.01339,"","Medium","Dry Inoculation",12,"","post_inoc_post_stress","True Sample"
"13","KSTRAW1282","T1","Shoot","R06I04W03",0.40463,"","High","Medium Inoculation",6,"P2","post_inoc_post_stress","True Sample"
"16","KSTRAW1140","T1","Shoot","R04I06W01",0.10879,"","Low","No Inoculation",4,"","post_inoc_post_stress","Control"
"17","KSTRAW1127","T1","Shoot","R05I05W01",0.05317,"","Low","Wet Inoculation",5,"","post_inoc_post_stress","True Sample"
"20","KSTRAW1229","T1","Shoot","R09I06W02",0.06045,"","Medium","No Inoculation",9,"","post_inoc_post_stress","Control"
"22","KSTRAW1156","T1","Shoot","R06I01W02",0.06678,"","Medium","Dry Inoculation",6,"","post_inoc_post_stress","True Sample"
"23","KSTRAW1069","T1","Shoot","R03I01W01",0.13967,"","Low","Dry Inoculation",3,"P11","post_inoc_post_stress","True Sample"
"27","KSTRAW1220","T1","Shoot","R14I05W02",0.04615,"","Medium","Wet Inoculation",14,"","post_inoc_post_stress","True Sample"
"31","KSTRAW1247","T1","Shoot","R13I01W03",0.08311,"","High","Dry Inoculation",13,"","post_inoc_post_stress","True Sample"
"39","KSTRAW1196","T1","Shoot","R04I04W02",0.0805,"","Medium","Medium Inoculation",4,"","post_inoc_post_stress","True Sample"
"41","KSTRAW1213","T1","Shoot","R07I05W02",0.11751,"","Medium","Wet Inoculation",7,"","post_inoc_post_stress","True Sample"
"52","KSTRAW1124","T1","Shoot","R02I05W01",0.03888,"","Low","Wet Inoculation",2,"","post_inoc_post_stress","True Sample"
"55","KSTRAW1158","T1","Shoot","R08I01W02",0.0748,"","Medium","Dry Inoculation",8,"","post_inoc_post_stress","True Sample"
"57","KSTRAW1195","T1","Shoot","R03I04W02",0.05928,"","Medium","Medium Inoculation",3,"","post_inoc_post_stress","True Sample"
"64","KSTRAW1239","T1","Shoot","R05I01W03",0.0951,"","High","Dry Inoculation",5,"","post_inoc_post_stress","True Sample"
"67","KSTRAW1113","T1","Shoot","R05I04W01",0.05321,"","Low","Medium Inoculation",5,"","post_inoc_post_stress","True Sample"
"70","KSTRAW1154","T1","Shoot","R04I01W02",0.08585,"","Medium","Dry Inoculation",4,"","post_inoc_post_stress","True Sample"
"72","KSTRAW1277","T1","Shoot","R01I04W03",0.0752,"","High","Medium Inoculation",1,"","post_inoc_post_stress","True Sample"
"74","KSTRAW1312","T1","Shoot","R08I06W03",0.1977,"","High","No Inoculation",8,"","post_inoc_post_stress","Control"
"76","KSTRAW1120","T1","Shoot","R12I04W01",0.04325,"","Low","Medium Inoculation",12,"","post_inoc_post_stress","True Sample"
"79","KSTRAW1234","T1","Shoot","R14I06W02",0.03929,"","Medium","No Inoculation",14,"","post_inoc_post_stress","Control"
"86","KSTRAW1119","T1","Shoot","R11I04W01",0.05517,"","Low","Medium Inoculation",11,"","post_inoc_post_stress","True Sample"
"88","KSTRAW1242","T1","Shoot","R08I01W03",0.16213,"","High","Dry Inoculation",8,"P8","post_inoc_post_stress","True Sample"
"91","KSTRAW1136","T1","Shoot","R14I05W01",0.096,"","Low","Wet Inoculation",14,"","post_inoc_post_stress","True Sample"
"95","KSTRAW1148","T1","Shoot","R12I06W01",0.02643,"","Low","No Inoculation",12,"","post_inoc_post_stress","Control"
"98","KSTRAW1116","T1","Shoot","R08I04W01",0.04849,"","Low","Medium Inoculation",8,"","post_inoc_post_stress","True Sample"
"104","KSTRAW1315","T1","Shoot","R11I06W03",0.11553,"","High","No Inoculation",11,"","post_inoc_post_stress","Control"
"112","KSTRAW1207","T1","Shoot","R01I05W02",0.19355,"","Medium","Wet Inoculation",1,"","post_inoc_post_stress","True Sample"
"113","KSTRAW1302","T1","Shoot","R12I05W03",0.08504,"","High","Wet Inoculation",12,"","post_inoc_post_stress","True Sample"
"116","KSTRAW1155","T1","Shoot","R05I01W02",0.10794,"","Medium","Dry Inoculation",5,"","post_inoc_post_stress","True Sample"
"118","KSTRAW1111","T1","Shoot","R03I04W01",0.0609,"","Low","Medium Inoculation",3,"P12","post_inoc_post_stress","True Sample"
"122","KSTRAW1214","T1","Shoot","R08I05W02",0.02168,"","Medium","Wet Inoculation",8,"","post_inoc_post_stress","True Sample"
"125","KSTRAW1203","T1","Shoot","R11I04W02",0.12263,"","Medium","Medium Inoculation",11,"","post_inoc_post_stress","True Sample"
"128","KSTRAW1160","T1","Shoot","R10I01W02",0.03573,"","Medium","Dry Inoculation",10,"","post_inoc_post_stress","True Sample"
"139","KSTRAW1200","T1","Shoot","R08I04W02",0.09466,"","Medium","Medium Inoculation",8,"","post_inoc_post_stress","True Sample"
"140","KSTRAW1305","T1","Shoot","R01I06W03",0.21841,"","High","No Inoculation",1,"","post_inoc_post_stress","Control"
"143","KSTRAW1221","T1","Shoot","R01I06W02",0.02128,"","Medium","No Inoculation",1,"","post_inoc_post_stress","Control"
"150","KSTRAW1209","T1","Shoot","R03I05W02",0.07572,"","Medium","Wet Inoculation",3,"","post_inoc_post_stress","True Sample"
"152","KSTRAW1240","T1","Shoot","R06I01W03",0.10046,"","High","Dry Inoculation",6,"","post_inoc_post_stress","True Sample"
"153","KSTRAW1246","T1","Shoot","R12I01W03",0.0645,"","High","Dry Inoculation",12,"","post_inoc_post_stress","True Sample"
"157","KSTRAW1309","T1","Shoot","R05I06W03",0.14579,"","High","No Inoculation",5,"","post_inoc_post_stress","Control"
"160","KSTRAW1245","T1","Shoot","R11I01W03",0.08215,"","High","Dry Inoculation",11,"","post_inoc_post_stress","True Sample"
"165","KSTRAW1118","T1","Shoot","R10I04W01",0.03205,"","Low","Medium Inoculation",10,"","post_inoc_post_stress","True Sample"
"166","KSTRAW1241","T1","Shoot","R07I01W03",0.03203,"","High","Dry Inoculation",7,"","post_inoc_post_stress","True Sample"
"168","KSTRAW1121","T1","Shoot","R13I04W01",0.14588,"","Low","Medium Inoculation",13,"","post_inoc_post_stress","True Sample"
"170","KSTRAW1123","T1","Shoot","R01I05W01",0.07689,"","Low","Wet Inoculation",1,"P14","post_inoc_post_stress","True Sample"
"175","KSTRAW1316","T1","Shoot","R12I06W03",0.16597,"","High","No Inoculation",12,"","post_inoc_post_stress","Control"
"179","KSTRAW1288","T1","Shoot","R12I04W03",0.18302,"","High","Medium Inoculation",12,"","post_inoc_post_stress","True Sample"
"180","KSTRAW1292","T1","Shoot","R02I05W03",0.07397,"","High","Wet Inoculation",2,"","post_inoc_post_stress","True Sample"
"181","KSTRAW1131","T1","Shoot","R09I05W01",0.06807,"","Low","Wet Inoculation",9,"","post_inoc_post_stress","True Sample"
"183","KSTRAW1211","T1","Shoot","R05I05W02",0.1547,"","Medium","Wet Inoculation",5,"","post_inoc_post_stress","True Sample"
"184","KSTRAW1289","T1","Shoot","R13I04W03",0.10494,"","High","Medium Inoculation",13,"","post_inoc_post_stress","True Sample"
"185","KSTRAW1279","T1","Shoot","R03I04W03",0.04257,"","High","Medium Inoculation",3,"","post_inoc_post_stress","True Sample"
"190","KSTRAW1078","T1","Shoot","R12I01W01",0.08811,"","Low","Dry Inoculation",12,"","post_inoc_post_stress","True Sample"
"191","KSTRAW1163","T1","Shoot","R13I01W02",0.03182,"","Medium","Dry Inoculation",13,"","post_inoc_post_stress","True Sample"
"194","KSTRAW1202","T1","Shoot","R10I04W02",0.2487,"","Medium","Medium Inoculation",10,"","post_inoc_post_stress","True Sample"
"202","KSTRAW1129","T1","Shoot","R07I05W01",0.12802,"","Low","Wet Inoculation",7,"P13","post_inoc_post_stress","True Sample"
"205","KSTRAW1130","T1","Shoot","R08I05W01",0.10791,"","Low","Wet Inoculation",8,"P26","post_inoc_post_stress","True Sample"
"207","KSTRAW1193","T1","Shoot","R01I04W02",0.14117,"","Medium","Medium Inoculation",1,"","post_inoc_post_stress","True Sample"
"210","KSTRAW1215","T1","Shoot","R09I05W02",0.11503,"","Medium","Wet Inoculation",9,"P31","post_inoc_post_stress","True Sample"
"213","KSTRAW1294","T1","Shoot","R04I05W03",0.07003,"","High","Wet Inoculation",4,"P3","post_inoc_post_stress","True Sample"
"217","KSTRAW1290","T1","Shoot","R14I04W03",0.1305,"","High","Medium Inoculation",14,"P7=P6-2","post_inoc_post_stress","True Sample"
"219","KSTRAW1079","T1","Shoot","R13I01W01",0.12888,"","Low","Dry Inoculation",13,"P19","post_inoc_post_stress","True Sample"
"220","KSTRAW1137","T1","Shoot","R01I06W01",0.08892,"","Low","No Inoculation",1,"","post_inoc_post_stress","Control"
"228","KSTRAW1199","T1","Shoot","R07I04W02",0.11929,"","Medium","Medium Inoculation",7,"","post_inoc_post_stress","True Sample"
"229","KSTRAW1144","T1","Shoot","R08I06W01",0.13651,"","Low","No Inoculation",8,"","post_inoc_post_stress","Control"
"230","KSTRAW1225","T1","Shoot","R05I06W02",0.09411,"","Medium","No Inoculation",5,"","post_inoc_post_stress","Control"
"231","KSTRAW1073","T1","Shoot","R07I01W01",0.01929,"","Low","Dry Inoculation",7,"","post_inoc_post_stress","True Sample"
"232","KSTRAW1299","T1","Shoot","R09I05W03",0.06912,"","High","Wet Inoculation",9,"","post_inoc_post_stress","True Sample"
"235","KSTRAW1231","T1","Shoot","R11I06W02",0.0845,"","Medium","No Inoculation",11,"","post_inoc_post_stress","Control"
"237","KSTRAW1304","T1","Shoot","R14I05W03",0.11779,"","High","Wet Inoculation",14,"","post_inoc_post_stress","True Sample"
"241","KSTRAW1068","T1","Shoot","R02I01W01",0.03668,"","Low","Dry Inoculation",2,"","post_inoc_post_stress","True Sample"
"246","KSTRAW1317","T1","Shoot","R13I06W03",0.17223,"","High","No Inoculation",13,"","post_inoc_post_stress","Control"
"249","KSTRAW1311","T1","Shoot","R07I06W03",0.11415,"","High","No Inoculation",7,"","post_inoc_post_stress","Control"
"257","KSTRAW1310","T1","Shoot","R06I06W03",0.03559,"","High","No Inoculation",6,"","post_inoc_post_stress","Control"
"258","KSTRAW1217","T1","Shoot","R11I05W02",0.11148,"","Medium","Wet Inoculation",11,"P30","post_inoc_post_stress","True Sample"
"261","KSTRAW1235","T1","Shoot","R01I01W03",0.03115,"","High","Dry Inoculation",1,"","post_inoc_post_stress","True Sample"
"265","KSTRAW1287","T1","Shoot","R11I04W03",0.28452,"","High","Medium Inoculation",11,"","post_inoc_post_stress","True Sample"
"267","KSTRAW1298","T1","Shoot","R08I05W03",0.08127,"","High","Wet Inoculation",8,"P9","post_inoc_post_stress","True Sample"
"270","KSTRAW1318","T1","Shoot","R14I06W03",0.26723,"","High","No Inoculation",14,"","post_inoc_post_stress","Control"
"272","KSTRAW1237","T1","Shoot","R03I01W03",0.11719,"","High","Dry Inoculation",3,"","post_inoc_post_stress","True Sample"
"285","KSTRAW1149","T1","Shoot","R13I06W01",0.16522,"","Low","No Inoculation",13,"","post_inoc_post_stress","Control"
"297","KSTRAW1159","T1","Shoot","R09I01W02",0.06222,"","Medium","Dry Inoculation",9,"","post_inoc_post_stress","True Sample"
"298","KSTRAW1212","T1","Shoot","R06I05W02",0.15076,"","Medium","Wet Inoculation",6,"","post_inoc_post_stress","True Sample"
"300","KSTRAW1204","T1","Shoot","R12I04W02",0.12876,"","Medium","Medium Inoculation",12,"","post_inoc_post_stress","True Sample"
"304","KSTRAW1126","T1","Shoot","R04I05W01",0.02925,"","Low","Wet Inoculation",4,"","post_inoc_post_stress","True Sample"
"307","KSTRAW1216","T1","Shoot","R10I05W02",0.20806,"","Medium","Wet Inoculation",10,"P33","post_inoc_post_stress","True Sample"
