"","x"
"post_inoc_post_stress_0001",45094
"post_inoc_post_stress_0002",6118
"post_inoc_post_stress_0003",4895
"post_inoc_post_stress_0004",6910
"post_inoc_post_stress_0005",9636
"post_inoc_post_stress_0006",10231
"post_inoc_post_stress_0007",13691
"post_inoc_post_stress_0008",19335
"post_inoc_post_stress_0009",1412
"post_inoc_post_stress_0010",2898
"post_inoc_post_stress_0011",1901
"post_inoc_post_stress_0012",3969
"post_inoc_post_stress_0013",1921
"post_inoc_post_stress_0014",1632
"post_inoc_post_stress_0015",1142
"post_inoc_post_stress_0016",4308
"post_inoc_post_stress_0017",6443
"post_inoc_post_stress_0018",13330
"post_inoc_post_stress_0019",10402
"post_inoc_post_stress_0020",1531
"post_inoc_post_stress_0021",8090
"post_inoc_post_stress_0022",4007
"post_inoc_post_stress_0023",23013
"post_inoc_post_stress_0024",10261
"post_inoc_post_stress_0025",13917
"post_inoc_post_stress_0026",7794
"post_inoc_post_stress_0027",11448
"post_inoc_post_stress_0028",19147
"post_inoc_post_stress_0029",10777
"post_inoc_post_stress_0030",13946
"post_inoc_post_stress_0031",14101
"post_inoc_post_stress_0032",6609
"post_inoc_post_stress_0033",3885
"post_inoc_post_stress_0034",7
"post_inoc_post_stress_0035",20434
"post_inoc_post_stress_0036",12842
"post_inoc_post_stress_0037",10830
"post_inoc_post_stress_0038",10389
"post_inoc_post_stress_0039",556
"post_inoc_post_stress_0040",31825
"post_inoc_post_stress_0041",14454
"post_inoc_post_stress_0042",700
"post_inoc_post_stress_0043",12435
"post_inoc_post_stress_0044",1404
"post_inoc_post_stress_0045",623
"post_inoc_post_stress_0046",26709
"post_inoc_post_stress_0047",8352
"post_inoc_post_stress_0048",6899
"post_inoc_post_stress_0049",18045
"post_inoc_post_stress_0050",797
"post_inoc_post_stress_0051",10463
"post_inoc_post_stress_0052",16049
"post_inoc_post_stress_0053",4426
"post_inoc_post_stress_0054",1672
"post_inoc_post_stress_0055",7602
"post_inoc_post_stress_0056",1036
"post_inoc_post_stress_0057",2285
"post_inoc_post_stress_0058",4887
"post_inoc_post_stress_0059",6606
"post_inoc_post_stress_0060",19422
"post_inoc_post_stress_0061",844
"post_inoc_post_stress_0062",16835
"post_inoc_post_stress_0063",9078
"post_inoc_post_stress_0064",14060
"post_inoc_post_stress_0065",903
"post_inoc_post_stress_0066",445
"post_inoc_post_stress_0067",12466
"post_inoc_post_stress_0068",8614
"post_inoc_post_stress_0069",5489
"post_inoc_post_stress_0070",29063
"post_inoc_post_stress_0071",19986
"post_inoc_post_stress_0072",12965
"post_inoc_post_stress_0073",13123
"post_inoc_post_stress_0074",2850
"post_inoc_post_stress_0075",19319
"post_inoc_post_stress_0076",12080
"post_inoc_post_stress_0077",24651
"post_inoc_post_stress_0078",17
"post_inoc_post_stress_0079",9688
"post_inoc_post_stress_0080",16253
"post_inoc_post_stress_0081",5
"post_inoc_post_stress_0082",1840
"post_inoc_post_stress_0083",6978
"post_inoc_post_stress_0084",8252
"post_inoc_post_stress_0085",10715
"post_inoc_post_stress_0086",23639
"post_inoc_post_stress_0087",15509
"post_inoc_post_stress_0088",3739
"post_inoc_post_stress_0089",3812
"post_inoc_post_stress_0090",4389
"post_inoc_post_stress_0091",2427
"post_inoc_post_stress_0092",151
"post_inoc_post_stress_0093",7919
"post_inoc_post_stress_0094",24575
"post_inoc_post_stress_0095",7361
"post_inoc_post_stress_0096",25448
"post_inoc_post_stress_0097",25175
"post_inoc_post_stress_0098",29993
"post_inoc_post_stress_0099",1694
