"","x"
"post_inoc_post_stress 1",45094
"post_inoc_post_stress 2",6118
"post_inoc_post_stress 3",4895
"post_inoc_post_stress 4",6910
"post_inoc_post_stress 5",9636
"post_inoc_post_stress 6",10231
"post_inoc_post_stress 7",13691
"post_inoc_post_stress 8",19335
"post_inoc_post_stress 9",1412
"post_inoc_post_stress 10",2898
"post_inoc_post_stress 11",1901
"post_inoc_post_stress 12",3969
"post_inoc_post_stress 13",1921
"post_inoc_post_stress 14",1632
"post_inoc_post_stress 15",1142
"post_inoc_post_stress 16",4308
"post_inoc_post_stress 17",6443
"post_inoc_post_stress 18",13330
"post_inoc_post_stress 19",10402
"post_inoc_post_stress 20",1531
"post_inoc_post_stress 21",8090
"post_inoc_post_stress 22",4007
"post_inoc_post_stress 23",23013
"post_inoc_post_stress 24",10261
"post_inoc_post_stress 25",13917
"post_inoc_post_stress 26",7794
"post_inoc_post_stress 27",11448
"post_inoc_post_stress 28",19147
"post_inoc_post_stress 29",10777
"post_inoc_post_stress 30",13946
"post_inoc_post_stress 31",14101
"post_inoc_post_stress 32",6609
"post_inoc_post_stress 33",3885
"post_inoc_post_stress 34",7
"post_inoc_post_stress 35",20434
"post_inoc_post_stress 36",12842
"post_inoc_post_stress 37",10830
"post_inoc_post_stress 38",10389
"post_inoc_post_stress 39",556
"post_inoc_post_stress 40",31825
"post_inoc_post_stress 41",14454
"post_inoc_post_stress 42",700
"post_inoc_post_stress 43",12435
"post_inoc_post_stress 44",1404
"post_inoc_post_stress 45",623
"post_inoc_post_stress 46",26709
"post_inoc_post_stress 47",8352
"post_inoc_post_stress 48",6899
"post_inoc_post_stress 49",18045
"post_inoc_post_stress 50",797
"post_inoc_post_stress 51",10463
"post_inoc_post_stress 52",16049
"post_inoc_post_stress 53",4426
"post_inoc_post_stress 54",1672
"post_inoc_post_stress 55",7602
"post_inoc_post_stress 56",1036
"post_inoc_post_stress 57",2285
"post_inoc_post_stress 58",4887
"post_inoc_post_stress 59",6606
"post_inoc_post_stress 60",19422
